Epoch,Test AP,Test AUC,Test ROC
1,0.8392728351617587,0.8127678924020165,0.8392019440032618
2,0.8395877734877361,0.8131462206093030,0.8395171070719043
3,0.8403628392990405,0.8140826730004813,0.8402856936861214
4,0.8412091685983707,0.8150684882148962,0.8411435342140254
5,0.8418719922044364,0.8157606486779412,0.8418022078268417
6,0.8422354257710561,0.8161242040695144,0.8421651688617208
7,0.8423983022495098,0.8162769766027425,0.8423313128470045
8,0.8425012715671290,0.8163339059901246,0.8424330020426238
9,0.8427578481776010,0.8166520619968234,0.8426928101066560
10,0.8432545830708232,0.8172339668108879,0.8431825164594686
11,0.8440922336424423,0.8182107742108434,0.8440200289987181
12,0.8449533677673873,0.8192196494302737,0.8448892421080820
13,0.8458063806985080,0.8201982583931212,0.8457425481345977
14,0.8464447021695548,0.8209956301290496,0.8463798258101920
15,0.8467669563585223,0.8213469348929583,0.8467028854388439
16,0.8470451648563452,0.8216164487015776,0.8469775558686857
17,0.8473354422685457,0.8219735184667403,0.8472712187799150
18,0.8479043875632739,0.8227067545637190,0.8478379539426961
19,0.8489660417020145,0.8240438745420428,0.8488995831145718
20,0.8504922471993196,0.8258962415074326,0.8504293047304461
21,0.8522047334401759,0.8280192032191768,0.8521389971254283
22,0.8538126977073905,0.8299901130228496,0.8537493137254006
23,0.8552223862035776,0.8316158433764459,0.8551578283121249
24,0.8563092709281532,0.8328095589485790,0.8562444836095801
25,0.8572316162183602,0.8338760841805484,0.8571742549163129
26,0.8583257570848710,0.8351926663419049,0.8582635594890587
27,0.8598909298041143,0.8370958373808446,0.8598276335836236
28,0.8617871596493883,0.8394767828987002,0.8617320782610710
29,0.8637051662497895,0.8418631331052314,0.8636469992765488
30,0.8653092879567083,0.8438625076025955,0.8652532245473552
31,0.8664742835578292,0.8453444732374230,0.8664196521354255
32,0.8675119133162887,0.8466574522729958,0.8674572355296647
33,0.8692046810065566,0.8486993436546073,0.8691501393446273
34,0.8714198298070948,0.8513152129735588,0.8713673676059246
35,0.8735883373213733,0.8539206332277377,0.8735360685290872
36,0.8754798198320503,0.8562039340368556,0.8754258635898939
37,0.8767588257873326,0.8577975965709772,0.8767056773128417
38,0.8781948398337995,0.8595400681999649,0.8781425707534912
39,0.8803824209758594,0.8621249506371766,0.8803334028322339
40,0.8833335179996405,0.8655626929473857,0.8832832091483223
41,0.8857702568966930,0.8684282588831463,0.8857220294772846
42,0.8874198342061922,0.8704852833930491,0.8873717688269680
43,0.8889325873410834,0.8723581881754060,0.8888882685973287
44,0.8919238656813251,0.8758063795503875,0.8918794113666091
45,0.8950375470712937,0.8793669884498200,0.8949906039807534
46,0.8963742621177155,0.8809840713015356,0.8963353676751188
47,0.8986299342087238,0.8834943690350252,0.8985862262646174
48,0.9013799142820746,0.8864647859310909,0.9013431019320064
49,0.9039324218748589,0.8892867540448690,0.9038923226740968
50,0.9058452367472523,0.8914547548289092,0.9058059159699943
51,0.9084249055641405,0.8942190729301485,0.9083862484913163
52,0.9097709421368416,0.8958066101504377,0.9097365560964625
53,0.9121754587586171,0.8982625006845938,0.9121391814871711
54,0.9128207130417086,0.8992166083921124,0.9127881815980754
55,0.9144928476443619,0.9009659259600890,0.9144606966888357
