Epoch,Test AP,Test AUC,Test ROC
1,0.7362758526157182,0.7061227421829672,0.7362152611961410
2,0.7367345430622966,0.7066561913673253,0.7366747671855579
3,0.7370551450076879,0.7069877430089860,0.7369952622474601
4,0.7372452714108241,0.7071875157445147,0.7371846681373394
5,0.7374962163121773,0.7074851113331535,0.7374363121651086
6,0.7378486775782559,0.7078769339473863,0.7377889723063290
7,0.7383391159311582,0.7084105465784497,0.7382793756631079
8,0.7389394764868822,0.7090837835574985,0.7388799580963822
9,0.7395176356269612,0.7097398790633311,0.7394577332687409
10,0.7400025535822052,0.7102923697888543,0.7399435094069569
11,0.7403055522421474,0.7106508492752098,0.7402461460556240
12,0.7404954308658447,0.7109134059764042,0.7404363239582252
13,0.7406063147133490,0.7111073150613809,0.7405476807548321
14,0.7407146765792270,0.7113391233511446,0.7406557475633068
15,0.7409131410652596,0.7116815441987064,0.7408561054427729
16,0.7413110075031991,0.7122289476455277,0.7412512648135590
17,0.7418431890463009,0.7129161593178781,0.7417849005638245
18,0.7424202769845855,0.7136752058171989,0.7423620321686972
19,0.7428312237814630,0.7142918493745447,0.7427735506687665
20,0.7429714503330515,0.7146871860929409,0.7429138458673255
21,0.7428030543503946,0.7147893607145792,0.7427441223033520
22,0.7423905154485829,0.7147263724405319,0.7423314003318577
23,0.7419102137166399,0.7146516160037044,0.7418498833076584
24,0.7416298514654986,0.7147965319387733,0.7415713812047492
25,0.7417145756156236,0.7152903452971010,0.7416558058924464
26,0.7418902027670911,0.7158762608738539,0.7418302116585426
27,0.7416149934678817,0.7161229428137980,0.7415546068215764
28,0.7405410864898031,0.7157002696339435,0.7404796513608407
29,0.7385085666284716,0.7145054129258313,0.7384460910060573
30,0.7367347369231799,0.7136044538246508,0.7366714655181288
31,0.7358200585687367,0.7134276453512141,0.7357563838958656
32,0.7351870786699650,0.7135311888390090,0.7351219819769688
33,0.7337556240079608,0.7129926319451110,0.7336899470019951
34,0.7307715937315652,0.7111898760783857,0.7307038564735805
35,0.7285008523249938,0.7099778166045426,0.7284313540313174
36,0.7257421638090008,0.7083321943141059,0.7256716202888269
37,0.7241997049420783,0.7076868045674691,0.7241279731450867
38,0.7225054610970679,0.7068823198840803,0.7224321122759216
39,0.7186954411339250,0.7043067675639523,0.7186207022456839
40,0.7145057950120788,0.7014011754841875,0.7144286981870742
41,0.7109971164533149,0.6989872719555814,0.7109171813707666
42,0.7089677555398523,0.6979154293240306,0.7088871606108276
43,0.7017210801122310,0.6923369524111433,0.7016357133043858
44,0.7005513776636207,0.6918300837472315,0.7004642517623605
45,0.7031607588163942,0.6943238105605286,0.7030759219495852
46,0.6968071411935479,0.6893961579972288,0.6967169449449783
47,0.6887494954915123,0.6828376137778054,0.6886552921133512
48,0.6863070373039770,0.6810438883415467,0.6862104447864588
49,0.6903151783113552,0.6846544873536993,0.6902199010090162
50,0.6870139977693258,0.6820675959183925,0.6869176655380056
51,0.6801996215207814,0.6763922564017887,0.6800975658355947
52,0.6771248672443348,0.6738566055085872,0.6770218385516462
53,0.6752172261212566,0.6722786705849746,0.6751134427796999
54,0.6775416449381149,0.6742621780769015,0.6774390545582150
55,0.6779088632348191,0.6745709493340140,0.6778052954830993
56,0.6738550326200924,0.6711082695901398,0.6737491962231578
57,0.6713836279160392,0.6690448979518453,0.6712760495114175
58,0.6705145955982892,0.6682075604806951,0.6704072232592084
59,0.6724632811292219,0.6697460434558207,0.6723566110518457
60,0.6716806877406151,0.6688784070516792,0.6715744056250854
61,0.6711250636731374,0.6681055493057622,0.6710176058551667
62,0.6695795711156519,0.6664594366752097,0.6694733143461624
