,Epoch,Test AP,Test ROC,Test AUC
0,0,0.5037536571789126,0.4962208200391305,0.5058136015029483
1,1,0.4973049308448601,0.4866715168905079,0.4961869841742604
2,2,0.5135709114235683,0.5149095512579702,0.5131147818570122
3,3,0.5147721518945294,0.5049066020272349,0.5136751469437513
4,4,0.5633024404348836,0.5604758035591351,0.5629577169002948
5,5,0.5313906739346606,0.5315044986392743,0.530630727451488
6,6,0.5543424037850975,0.55549164611271,0.5537554416480069
7,7,0.5667531035762056,0.5527100625712873,0.566360509867277
8,8,0.6096719315373134,0.6020095990236092,0.6093433697265
9,9,0.6235588713886763,0.6291639823284134,0.6233105953818574
10,10,0.6360703598407209,0.6577319990684851,0.6358268969912311
11,11,0.6486293261538778,0.6670598974313645,0.6486842346228608
12,12,0.6649765099436988,0.6784048741349915,0.6649229328141781
13,13,0.6705209377312606,0.6831844127631148,0.6705251779810315
14,14,0.6749391370923775,0.6840077750901342,0.6748082956344914
15,15,0.6946131763640225,0.7115017023945712,0.6946415448548362
16,16,0.7039597875014028,0.7274732316939463,0.7040044715071057
17,17,0.7166606582814405,0.7374364470523841,0.7164738386607599
18,18,0.7372719002953083,0.7491698382937637,0.7371109650377917
19,19,0.7481827824438578,0.7608798566690861,0.7480040404241701
20,20,0.7450948426134746,0.763468295344635,0.7455545525419139
21,21,0.7458946212866941,0.7715087737489568,0.7463333936169212
22,22,0.7569898406869648,0.7817688245063226,0.75683614767656
23,23,0.7622452042438204,0.7843196541155792,0.7620979115577378
24,24,0.7787221307969135,0.7983888445984881,0.778595370607936
25,25,0.7854785386295791,0.8027007134248643,0.7853583065560829
26,26,0.7908701036268669,0.8098145639303133,0.7907517762906642
27,27,0.7890749071147551,0.814113258959457,0.7889445969567277
28,28,0.7973273028676487,0.8214988721529725,0.7971928409973984
29,29,0.8026731317759052,0.8250653590327204,0.8025421635850909
30,30,0.8090486575944683,0.8334844778671706,0.8089204128417151
31,31,0.8175981681141145,0.8410150028302416,0.8174760759790152
