,Epoch,Test AP,Test ROC,Test AUC
0,0,0.5039626187132028,0.49995117874048967,0.5040573175948287
1,1,0.5076302105334551,0.5120276054929775,0.5062698959136578
2,2,0.5009387609096457,0.49674655126622813,0.4992202150052769
3,3,0.5113069156768861,0.5020387757971536,0.50948668208419
4,4,0.49861507875539857,0.5059288537549407,0.49725711754798285
5,5,0.5067342929034704,0.49408286334734175,0.504770975180887
6,6,0.5128188536997714,0.5268438813291881,0.5108197894865218
7,7,0.5255533974457549,0.5199932821946914,0.52365242437806
8,8,0.5353578722656372,0.5352958177756253,0.5334109242605192
9,9,0.5404909043213633,0.5427947632364198,0.5385131882314086
10,10,0.5542384969724541,0.5668558327735163,0.5533164957362934
11,11,0.5805782074630526,0.5974589510850037,0.5800106565938296
12,12,0.6213711026567751,0.6349732068927807,0.6218437235556331
13,13,0.6231562865798831,0.6509904857129466,0.6256246902019675
14,14,0.6311703371994711,0.6508498804855567,0.6310617299470734
15,15,0.6295154351810548,0.65791919886266,0.628443716678418
16,16,0.6102066970574344,0.6290560702401224,0.609193194567096
17,17,0.6105034597979623,0.6272321079848147,0.6094251291980424
18,18,0.6306918517301374,0.6554527488321955,0.6298824758660726
19,19,0.6614285056935449,0.6838842975206612,0.6606789109179202
20,20,0.6496703896231149,0.6785178646752801,0.6489483353783378
21,21,0.6655138692573095,0.6989837366620317,0.6647386138879052
22,22,0.6811380917941523,0.719742536205846,0.6801747215843359
23,23,0.7006217185159778,0.7521129841116093,0.6993455748137102
24,24,0.6818914882585436,0.7286612038932025,0.6807806300061954
25,25,0.7009535616422196,0.7490274805105531,0.6999341417145735
26,26,0.705535301830756,0.7524918370854099,0.7045666466594666
27,27,0.7341628377626108,0.7690637254136137,0.7333544231265198
28,28,0.7443818156251845,0.7776445499851583,0.7436301860290959
29,29,0.7407757356115463,0.7735474698870471,0.7401261840928021
30,30,0.7774633784085123,0.801500570232311,0.7769896114595131
31,31,0.7837736075176724,0.8023207673920856,0.7834257670811866
32,32,0.7852684594375365,0.8101673202205941,0.7848979317512643
33,33,0.7974422945949972,0.8244660907059945,0.79708716435798
34,34,0.7986619695887189,0.8279421643831335,0.7982264723818258
35,35,0.8081862651991322,0.8468730959708791,0.8074528376545012
36,36,0.8063757071352831,0.8519934696683278,0.8055721050096208
37,37,0.8345530815197588,0.8695281132340764,0.8339277942089194
38,38,0.8316669151564986,0.8702643378274932,0.8310132985102333
39,39,0.8304998410661572,0.8777281319814401,0.829885611284885
40,40,0.8422925744903225,0.8800246840288085,0.8418299920858067
41,41,0.8452956459273226,0.8815713415300974,0.8448617096264166
42,42,0.8415654400684954,0.8833640581793184,0.8411100137817848
43,43,0.8418391359399489,0.8861683513255948,0.8413660827225965
44,44,0.8380908081186954,0.8796067740473996,0.8377270820952706
45,45,0.8366928732675556,0.8813760564920557,0.8362055397602969
46,46,0.8410618248603057,0.8801848177600025,0.8406690241940521
47,47,0.8312621372625835,0.8790560702401226,0.8307664711943845
48,48,0.8434151620557447,0.8855121935977753,0.8426806765937149
49,49,0.8403999025269966,0.8873674014591699,0.8394254313920467
