,Epoch,Test AP,Test ROC,Test AUC
0,0,0.5364423256395103,0.5361855878085683,0.5362005547363199
1,1,0.533425745542398,0.5346806036050378,0.533095061381364
2,2,0.5407263632661298,0.5394818712700982,0.5405149649469247
3,3,0.5520378676276891,0.547188069879802,0.5518672561040183
4,4,0.5710684276074532,0.573288524359955,0.5708740714456447
5,5,0.5515875039253773,0.5412036848290473,0.5513942656860844
6,6,0.5683167770491885,0.5717548237150243,0.568007131529005
7,7,0.5820345356473772,0.5805486878770347,0.581794440500001
8,8,0.6002217918950761,0.6018981082417318,0.6000216875007605
9,9,0.6160753312152472,0.6138716913806024,0.6159202123949744
10,10,0.6197389593382515,0.6289362960935286,0.6196108642237623
11,11,0.6383546254874483,0.6443605439007248,0.6382364924105404
12,12,0.6541684855723972,0.6732625905821721,0.6540333457795241
13,13,0.6537435165531018,0.6739755267970506,0.6535863091089811
14,14,0.6621724272977143,0.6829023763947293,0.6619484529658091
15,15,0.6559193787193491,0.6766211604095564,0.6557568816373679
16,16,0.6718881890593937,0.6965007438771693,0.6717526851697767
17,17,0.6510976756076376,0.6784683151683641,0.6508705742347725
18,18,0.6593719890538259,0.68066435446734,0.6592010644513637
19,19,0.6594107606466078,0.6868559832444822,0.6592416594307512
20,20,0.6723295333029203,0.6973227621236773,0.6720296209479143
21,21,0.6799451978616284,0.6959960625309813,0.6798134681035525
22,22,0.6996018441374408,0.7181939526248284,0.6994360965344504
23,23,0.6812064065833094,0.6982185937582914,0.6810188589203857
24,24,0.697995084867318,0.7220394885852549,0.6978352889997053
25,25,0.7086556264259787,0.7339533738825664,0.7085226744497948
26,26,0.7261417889302214,0.7533580035876947,0.7260317928570867
27,27,0.7291837818526411,0.7550153871591075,0.7290444308744597
28,28,0.7432580611496484,0.7758328657811325,0.7430152833128123
29,29,0.7491923875332853,0.7802682617153374,0.7491047840312484
30,30,0.7485311498637645,0.7760945089634125,0.7484446578602642
31,31,0.747171359925479,0.7739885017750806,0.7470643758846449
32,32,0.7422453870725816,0.7683532034929547,0.7421512153928371
