,Epoch,Test AP,Test ROC,Test AUC
0,0,0.49064239962524764,0.4904402312029565,0.48958973265028505
1,1,0.4952157958307653,0.4932368347724869,0.49467284083719926
2,2,0.4875972690632138,0.4849443183344986,0.4871729051615597
3,3,0.5102175061368358,0.5022859741153116,0.5098544921920669
4,4,0.5026274199295064,0.4958915784417959,0.5021865833260608
5,5,0.5124364040017466,0.5172802125736408,0.5120353637819969
6,6,0.5049872783275415,0.512126153383866,0.5044276254431385
7,7,0.5156734999958137,0.5216138891211548,0.515109490592949
8,8,0.4990974109459044,0.5026053243572566,0.49854497395700537
9,9,0.5111648674909528,0.499345966292058,0.5108108101830728
10,10,0.5196513083853522,0.5220617516366286,0.5190979194275468
11,11,0.5144330903281094,0.5142134574522889,0.5138807060866042
12,12,0.5043639194341624,0.5060012473963854,0.5038017551788263
13,13,0.517312088035941,0.5156879841134562,0.5168164443657022
14,14,0.5272034125076982,0.5255321345767291,0.5268584668500279
15,15,0.5350514325446472,0.5384439226490693,0.5345452884259057
16,16,0.5458090086434687,0.5621965207480584,0.5454509922926118
17,17,0.5424182222330534,0.5495890806265045,0.5419957343100484
18,18,0.5649129625001159,0.5744110332144108,0.5643700550984383
19,19,0.5764166033522192,0.5882823060551233,0.575916161595246
20,20,0.5915072987816475,0.6022963212837725,0.5912157464996888
21,21,0.6124865107618526,0.6206999407188877,0.6121783599083785
22,22,0.6210751354395782,0.639673978150928,0.6207897013551464
23,23,0.6589029531090318,0.6767844618623006,0.6586210244719048
24,24,0.6624023235450711,0.6829165380624673,0.6621697349242988
25,25,0.6654083749367943,0.6906722813476736,0.6651869040797532
26,26,0.6871015281786246,0.7068841322310768,0.686914087554112
27,27,0.6865985575678759,0.7122251685055137,0.6863101786289239
28,28,0.7055361046819142,0.7270972927262493,0.7053534599296133
29,29,0.7075667462190753,0.7301625034940997,0.7074108595101964
30,30,0.7293665898874914,0.7436092997437916,0.7292315810037135
31,31,0.7270109549864932,0.7462868777827321,0.7268647784285986
32,32,0.7387406211216855,0.7547984717960237,0.7386138599490437
33,33,0.7470495434485831,0.7602417663344616,0.7469318487156394
34,34,0.7471447816648094,0.7626549289917292,0.7469658592465643
35,35,0.7514243109126516,0.7648215466435573,0.7512928286469804
36,36,0.7629738712655051,0.7747135720653808,0.7628309021272653
37,37,0.7669854221143287,0.7797516944315688,0.7668703442425465
38,38,0.77443881114311,0.7874965169312991,0.7742972701378004
39,39,0.79817047129995,0.804912742924048,0.7980779620783969
40,40,0.8050398071267652,0.8189120867944316,0.8048633338132465
41,41,0.8140353527724818,0.8239524153799076,0.8138878153932034
42,42,0.8202815092397755,0.8365190404446327,0.8199597125258816
43,43,0.8362473927122085,0.849338498239768,0.83605818943166
44,44,0.8425717855353743,0.8553628006277135,0.8424817630221024
45,45,0.8394213619496858,0.8565691613344185,0.8393230370987441
46,46,0.8356933207316222,0.856487310598832,0.8354916655881699
47,47,0.8430308657094555,0.8604470329770215,0.842899308314969
48,48,0.8501214779621483,0.8706270803269,0.8500132775644754
49,49,0.8495500938080949,0.867509361539994,0.8493626440057989
50,50,0.8458032873858902,0.8679009654636225,0.8457272908830098
51,51,0.8564508617802785,0.8748457025385421,0.856372208164796
52,52,0.86015435025289,0.8760989454051181,0.8600834346727295
53,53,0.8615419367038955,0.8785286547070461,0.8614823830553877
54,54,0.8529357799772499,0.8707871415362477,0.8528526037243325
55,55,0.8533927726901044,0.8767220920430274,0.8532431105517897
56,56,0.8631146764287821,0.8809792127812461,0.8630407818067858
57,57,0.8681339078149364,0.8862959806435144,0.868065021213284
58,58,0.8653307715137768,0.8864283538007973,0.8652322436305799
59,59,0.8762637624589973,0.8899124153004837,0.8762127899104541
60,60,0.8761985744713382,0.8935533389915503,0.8761344681293071
61,61,0.8828813507210557,0.8944426659865627,0.8828275786235988
62,62,0.8904366407020508,0.9016402357918927,0.8903954438868149
63,63,0.8917096451630213,0.9062452773118365,0.8916479880469791
64,64,0.8962591437446007,0.9078364026623772,0.8962156245699187
65,65,0.8959529328611296,0.9127350919695605,0.8956680955048212
66,66,0.8987781349091484,0.9138347819736884,0.8987230378693897
67,67,0.905092236233799,0.9172555249798076,0.9050471931983777
