Epoch,Test AP,Test AUC,Test ROC
1,0.5271186024992078,0.520739064856712,0.5326121119494323
2,0.5615042680218656,0.5377073906485671,0.5576308483423535
3,0.58795259561071,0.5467571644042232,0.5759729274584877
4,0.5920270216316439,0.5493024132730016,0.5822869425789807
5,0.5964712676134662,0.5571266968325792,0.5863204745728201
6,0.6066984324345676,0.5603318250377074,0.5944886496772975
7,0.6065313342368901,0.5612745098039216,0.5941869159051253
8,0.6023785434041108,0.5562782805429864,0.589952423567176
9,0.5974792158188662,0.5552413273001509,0.5892603749354481
10,0.607629610954784,0.5631598793363499,0.5976490963307239
11,0.5984038264575053,0.5545814479638009,0.5852235726927968
12,0.6000115655671612,0.5574095022624435,0.5877904158675885
13,0.5979144882110798,0.5637254901960784,0.5912371692498788
14,0.5922511822136294,0.5526960784313726,0.5842119994244361
15,0.6039162802709793,0.5608031674208145,0.5951762194900004
16,0.5910881247132665,0.5488310708898945,0.5785330879509246
17,0.5873538408954744,0.5518476621417798,0.5803787346241432
18,0.5956610417476225,0.5578808446455505,0.5869329530744889
19,0.5864968842638996,0.5454374057315233,0.573800700231363
20,0.58693784578986,0.5507164404223228,0.5771145286633043
21,0.581403789677968,0.5481711915535445,0.5726536426874962
22,0.5912995996696788,0.5523190045248869,0.5800787781611079
23,0.5873266806411326,0.548736802413273,0.5760222655601281
24,0.5867593309478013,0.5582579185520362,0.58176297407233
25,0.5849880821683542,0.544683257918552,0.5742534875070808
26,0.582999107681384,0.5519419306184012,0.576663163234896
27,0.5830477417664708,0.539498491704374,0.5704834949120616
28,0.5835973671219096,0.5535444947209653,0.5802487600069614
29,0.5756432920919841,0.5385558069381599,0.5644925768195665
30,0.5912676949164672,0.5509992458521871,0.5802286941868057
31,0.5866240960824688,0.5466628959276018,0.5739260716178802
32,0.5893448880120389,0.5509992458521871,0.5794930481619496
33,0.5787896776948934,0.5411953242835595,0.5698235800295289
34,0.582049511004506,0.5453431372549019,0.5717238256394331
35,0.5857549318200909,0.5498680241327301,0.5767650741408061
36,0.5819866840320111,0.5455316742081447,0.5729995959109946
37,0.5782002754251789,0.5425150829562594,0.5675436478687077
38,0.5731563253938803,0.5418552036199095,0.5680191313821038
39,0.5862057510915453,0.5513763197586727,0.5802079707622694
40,0.587655419210479,0.5547699849170438,0.5832490177878786
41,0.5870585314787111,0.5515648567119156,0.5802259215845522
42,0.5806775072697121,0.5448717948717948,0.5763863828830058
43,0.5802820928337481,0.5460972850678733,0.5736125009668561
44,0.5850980704111003,0.5555241327300151,0.5825078976508807
45,0.5782976070695902,0.5438348416289592,0.5704956161603754
46,0.5876001499890882,0.5473227752639518,0.5799881176220343
47,0.5811481140524737,0.5480769230769231,0.5702584520291467
48,0.5835161200708676,0.5499622926093515,0.5749759814443238
49,0.5702430271068766,0.5384615384615384,0.5628538622491577
50,0.5776160183920955,0.5404411764705882,0.565808087723429
51,0.5872566299445856,0.5522247360482655,0.582108998388194
52,0.5786694567486707,0.5559012066365008,0.5798063166704204
53,0.5833101292068295,0.5490196078431373,0.5759771574542336
54,0.5888166999310873,0.5481711915535445,0.5791608157649879
55,0.5887668639870546,0.5494909502262444,0.5806537732130792
56,0.586137705364185,0.5463800904977375,0.5784172962606554
57,0.5865748302121665,0.5451546003016591,0.5781020549390425
58,0.5859271827937702,0.5470399698340875,0.5784737791450262
59,0.5865054233376149,0.5547699849170438,0.5825726627958295
60,0.5848238374894437,0.5504336349924586,0.5791766515893978
61,0.5900996058273325,0.5490196078431373,0.5817578021027416
62,0.5951768418241938,0.5523190045248869,0.5847933572431177
63,0.5910828467354057,0.5497737556561086,0.5801832661652665
64,0.6052391371822462,0.556184012066365,0.5910048393995027
65,0.5902939803628652,0.553921568627451,0.582905854939725
66,0.5817456120715471,0.5501508295625943,0.5770879401186162
67,0.5880366971490736,0.5526960784313726,0.5829600628684006
