Epoch,Test AP,Test AUC,Test ROC
1,0.6075032881108280,0.5700690414545282,0.6074373504263515
2,0.6075314069142950,0.5699020985266807,0.6074648881740368
3,0.6074835834147574,0.5696601935142410,0.6074167147186053
4,0.6074630820835214,0.5695140303581441,0.6073962362101997
5,0.6074990535529075,0.5695042545152218,0.6074327987465562
6,0.6075612978988012,0.5695770953605217,0.6074963474904465
7,0.6076247464469660,0.5696578420088415,0.6075575777489834
8,0.6076661419380106,0.5696911189502378,0.6076001413833449
9,0.6076709427793796,0.5696146147805023,0.6076046698443557
10,0.6076183326977753,0.5694136482908498,0.6075517158849542
11,0.6075134751465161,0.5691465326285330,0.6074482486060260
12,0.6074091899851319,0.5688889485875094,0.6073436000844020
13,0.6073668318659549,0.5687424365433708,0.6073012328949092
14,0.6073426109012321,0.5687133113696682,0.6072765657601369
15,0.6073732079292753,0.5687947278830277,0.6073061656623373
16,0.6074253886967055,0.5689398234417178,0.6073591710170309
17,0.6074055813655952,0.5689872443043156,0.6073394136435044
18,0.6072937935794497,0.5688554692910490,0.6072273386931389
19,0.6070708220436865,0.5685168385579898,0.6070044827758690
20,0.6067440037760466,0.5680383386091020,0.6066790010890837
21,0.6064078556369048,0.5675881962802255,0.6063416220162887
22,0.6061375652535710,0.5672415480999732,0.6060721796621099
23,0.6059873381838899,0.5670966548963471,0.6059223141351150
24,0.6059276865888011,0.5671207700377741,0.6058622215811877
25,0.6058256314930068,0.5671061306955536,0.6057599604906059
26,0.6055077036845049,0.5668128763411693,0.6054418562302954
27,0.6049443684927579,0.5661756881554952,0.6048778560097638
28,0.6041513324710435,0.5653257759531708,0.6040857215192355
29,0.6033686007982996,0.5645821699370850,0.6033019897052010
30,0.6028122089735494,0.5641633856653766,0.6027462046955980
31,0.6025030681524702,0.5640908797525965,0.6024362705124939
32,0.6018592145334138,0.5636034273365643,0.6017922216502338
33,0.6009122883469190,0.5627751880593765,0.6008457294074587
34,0.5996706517315914,0.5617037668395174,0.5996019034922627
