,Epoch,Test AP,Test ROC,Test AUC
0,0,0.4959115306552051,0.4931058673469388,0.6157048286448317
1,1,0.5115908332434004,0.5115979308390023,0.5103269627543157
2,2,0.5107988602971286,0.5139448696145125,0.509616858007836
3,3,0.4934501352895674,0.49107568027210885,0.49220486642055233
4,4,0.5043424574725701,0.505531462585034,0.5034494122165774
5,5,0.5089864827538422,0.5077671485260771,0.5081158244154995
6,6,0.5139760596463385,0.5086741780045352,0.5130545423771896
7,7,0.5075443254109108,0.5010912698412698,0.5066684009155102
8,8,0.5198465431135377,0.5091191893424036,0.5190510590323358
9,9,0.5443497911847891,0.5571223072562358,0.5433752008830208
10,10,0.5767446887414109,0.579970946712018,0.5759984429810692
11,11,0.5928848345173232,0.6024355158730159,0.5922593167775964
12,12,0.6159380052290132,0.6445861678004535,0.6153136816154705
13,13,0.629007950021874,0.6606108276643992,0.6284184303688514
14,14,0.6492346228575595,0.683845663265306,0.6486464231224784
15,15,0.6574352372040407,0.6968643707482994,0.656926984929723
16,16,0.6619720068670516,0.7110933956916099,0.6613882519644203
17,17,0.6800734578539442,0.728812358276644,0.6793866208897732
18,18,0.6787453643886134,0.7307759353741495,0.6781014995144358
19,19,0.7002639268028702,0.7558467970521542,0.6995908838693551
20,20,0.7167597597494206,0.7709204931972788,0.7161648458687426
21,21,0.7335137662356442,0.7832234977324263,0.7328999333331677
22,22,0.7365101253843451,0.77859339569161,0.7360473026459107
23,23,0.737950678450551,0.7837152777777778,0.7375206298677809
24,24,0.7278763967758803,0.782374574829932,0.7273722375394032
25,25,0.7387401665724367,0.7883878968253969,0.738222259944302
26,26,0.7430779573663189,0.7928160430839002,0.7426262946861236
27,27,0.7385719598522635,0.7831795634920635,0.737985375718085
28,28,0.7553202574019472,0.7978833616780044,0.7547870782361799
29,29,0.7373018205347419,0.792123724489796,0.7367645138608307
30,30,0.7407541221490767,0.7937337018140589,0.7401222313639001
31,31,0.7408771261777923,0.7911486678004535,0.7401440997976694
32,32,0.7438989526462569,0.7994621598639456,0.743283596439842
33,33,0.7382361573277288,0.7903351757369614,0.7376152048598723
34,34,0.7235859317992749,0.7790908446712018,0.7229127813146143
35,35,0.7313965555971944,0.779793792517007,0.7308864806961932
36,36,0.7032982621701772,0.7563655045351474,0.7022445841811271
37,37,0.7386528185119752,0.7882943594104308,0.7379604720732513
38,38,0.7244937793307551,0.7712251984126983,0.7238625382691806
39,39,0.7399167603181761,0.7897300170068027,0.7394880916573244
40,40,0.6955309839385815,0.7450531462585034,0.6950226678585757
41,41,0.7400706969497262,0.7884941893424036,0.7395522833670569
42,42,0.7223572838858868,0.7693331916099774,0.7218935831421152
43,43,0.7415992756463522,0.7987223639455783,0.7406521334643187
44,44,0.7144759767857757,0.7728649376417233,0.7133868492728839
45,45,0.7468623896397125,0.8013031462585035,0.7461627391736313
46,46,0.7460855600770763,0.7919947562358277,0.7454518562345018
47,47,0.7489397034662418,0.7992141439909296,0.7482050759454688
48,48,0.748340602438397,0.802078373015873,0.7472609718497101
49,49,0.7471894673738869,0.8052714002267576,0.7464189235450172
50,50,0.7631953375814736,0.8152132936507938,0.7625449746614902
51,51,0.7600896909305019,0.8108680555555556,0.7595244089867661
52,52,0.7634857764450543,0.8195231009070295,0.7625156671198255
53,53,0.7672619396464071,0.823546626984127,0.7666554819584444
54,54,0.7657623240805571,0.8189973072562358,0.7651666560551786
55,55,0.7699205839247644,0.8195117630385487,0.7693925929570606
56,56,0.7661504538294128,0.8142311507936508,0.7656705148644374
57,57,0.7671290455276351,0.8227303004535147,0.7661731840236756
58,58,0.7744726447519692,0.8256200396825396,0.7735044815112899
59,59,0.7757105095351867,0.825907738095238,0.7751541329591712
60,60,0.7737707878770114,0.8279485544217687,0.7733206190719331
61,61,0.782964475928422,0.8373533163265305,0.782475107504934
62,62,0.7774002826067726,0.8312932256235827,0.7768359303273642
63,63,0.7897076445394409,0.8404202097505669,0.7892010147754472
64,64,0.7937030063490991,0.844892998866213,0.7931346858494054
65,65,0.7948056369051695,0.845374858276644,0.7938797166729219
66,66,0.7957727548511335,0.8485055272108843,0.7951497385605877
67,67,0.7991735619117062,0.8503394274376417,0.7986123509888663
68,68,0.7876622370671754,0.8424560657596373,0.7873228632973692
69,69,0.7955571100016645,0.8451792800453515,0.7950325913045033
70,70,0.7977114838985411,0.8433623866213152,0.7971891751005764
71,71,0.7943993567547591,0.8416092687074829,0.7938338642412974
